タイムスタンプ,お名前,メッセージ(50文字以内でお願いします),文字数
2024/10/22 20:09:30,へっぽこジョー太郎,にぶちゃん卒業おめでとう！休業して戻ってきてくれた時は涙出た！卒業してもにぶちゃんのこと大好きだよ！,50
2024/10/22 20:54:08,あい,どんな時も笑顔で元気付けてくれるにぶちゃんはハッピーオーラそのものでした。今までたくさんの幸せを届けてくれて本当にありがとう！,63
2024/10/22 21:12:49,しょうへい,丹生ちゃんのおかげで頑張れたこと、乗り越えられたことがたくさんあります。幸せにしてくれてありがとう！,50
2024/10/22 22:15:30,はな,いつも丹生ちゃんのにぱっと明るい太陽のような笑顔に元気をもらっていました。いつも励まされ再び頑張れました。アイドル丹生明里ずっと大好きです！ありがとう！,76
2024/10/22 23:02:23,にげ,丹生さんのことがずっと、す、すっ、す_______________。,34
2024/10/22 23:18:26,セイシン,卒業おめでとう！にぶちゃんの笑顔が大好き！これからもいっぱい笑顔でいようね。,38
2024/10/23 16:13:15,ののん,こんなにも長く1人の人を応援し続けたのは初めてでした。ずっとずっとにぶちゃんが大好きです！！,46
2024/10/23 20:53:16,なお,"たくさんの幸せな思い出をありがとう。
丹生ちゃんはずっと私のアイドルです！
丹生ちゃんの未来に幸あれ！",51
2024/10/23 21:23:46,しょしょ,"ご卒業おめでとうございます☆

丹生ちゃんの輝く様な笑顔と元気さにいつも元気をもらってました。

これからも丹生ちゃんらしく頑張ってくださいᡣ(*^^*)",77
2024/10/24 10:10:29,てらお🐸南山,。,1
2024/10/24 10:20:20,チト,丹生ちゃんの無邪気な笑顔に沢山の元気貰えました！沢山のありがとう。,33
2024/10/24 10:23:09,たるはし,丹生ちゃんを応援して見た景色、丹生ちゃんのお陰で繋がれたご縁。全部大切な宝物だよ。卒業おめでとう。,49
2024/10/24 10:25:34,とらん,卒業おめでとう！丹生ちゃんの笑顔にたくさんたくさん救われてきました。真摯にファンに向き合い、仲間を常に思いやり、「ハッピーオーラ」を誰よりも大切にし続ける姿は本当にかっこよくて、常に憧れであり大きな誇りでした…！心からありがとう。卒業してからも素敵な出会いに溢れていますように！,139
2024/10/24 10:32:39,さわやか大魔神,丹生ちゃんの明るくて元気でとても素敵な笑顔がとても大好きでした。卒業は少し残念ですが、この先の新たな活躍を期待しています。,61
2024/10/24 10:38:55,隆太,ご卒業おめでとうございます！にぶちゃんに沢山の元気を貰えて頑張れました！今後のご活躍をお祈りします！,50
2024/10/24 10:49:30,りょうすけ,丹生ちゃんを推せて幸せでした。卒業後の活躍もとても楽しみにしています！,35
2024/10/24 11:08:38,ぴーちゃん,いつもにぱーをありがとう！これからもにぱーな丹生ちゃんをずっと側で見守らせてくれたら嬉しいです！,48
2024/10/24 11:18:31,あんこ,丹生明里ちゃん、卒業おめでとう！そしてアイドルとしてお疲れ様でした。わたしはどんなときもにぶちゃんの笑顔に支えられて癒されてきました。本当に大好きです！これからもずっとずっと応援しています！,95
2024/10/24 11:49:26,あづ,"丹生ちゃん卒業おめでとう！
丹生ちゃんの笑顔が大好きだ～♡",29
2024/10/24 11:50:56,チョッピー,"丹生ちゃんアイドル生活お疲れ様でした！
丹生ちゃん推しとしてたくさんライブで丹生ちゃんのアイドル姿を見れて最高でした！卒業してもずっと応援していきます！",76
2024/10/24 11:52:56,NING,丹生ちゃんの笑顔はいつも私に大きな力を与えてくれました。卒業後はゆっくり休んで、どんなことも順調にいきますように。卒業おめでとうございます！,70
2024/10/24 12:00:19,なっかん,「アイドルの丹生ちゃん」をここまでずっと貫いてくれてありがとう。,32
2024/10/24 12:02:58,かとちゃん,日向坂46を知って「この子めちゃくちゃ可愛い！推したい！」と思ったのがにぶちゃんでした。おひさま歴は浅いけど最後の最後まで「アイドル丹生明里」を全力で推していこうと思います！,87
2024/10/24 12:05:11,やっすん,"卒業おめでとう。
丹生ちゃんに出会えた奇跡に感謝してるよ。
卒業後の活躍も楽しみにしてる！
またね〜",50
2024/10/24 12:07:37,yuki,"にぶちゃん卒業おめでとう！にぶちゃんには、何度も元気をもらい救われました。推しがにぶちゃんで、誇りに思うし本当に良かったよ。
丹生明里は、究極のアイドルでした。",80
2024/10/24 12:10:36,なぎお,"ずっとずっと大好きです
これからも応援してます
丹生ちゃん卒業おめでとっ",36
2024/10/24 12:19:20,がらすの,有吉eeeee!を見てファンになりました。卒業してからも応援させていただきますので、丹生ちゃん自身も幸せでいてください。,60
2024/10/24 12:33:50,SHOW_すみ,丹生ちゃん卒業おめでとう！TV受け以上のリアクションを観ていて推しメンになりました！新しい道へ行ったとしても丹生ちゃんのこと忘れないからね…,70
2024/10/24 12:41:18,わんわん,"丹生ちゃんご卒業おめでとうございます！
お互い幸せな人生送ろうな！",33
2024/10/24 12:50:30,かとよ,にぶちゃんの笑顔がこの先もたくさん咲きますように！卒業おめでとうございます！,38
